version,codigo_ente,total_miembros_patronado,n_patronos_designados_cccaa_o_unidades_dependientes,n_patronos_designados_adinistraciones_pub,n_patronos_sector_privado
2019/01 situacion a  01/01/2019,15-00-008-H-H-000,20,11,0,9
2019/01 situacion a  01/01/2019,15-00-010-N-N-000,4,3,1,0
2019/01 situacion a  01/01/2019,15-00-012-H-H-000,10,1,7,2
2019/01 situacion a  01/01/2019,15-20-014-H-H-000,7,2,4,1
2019/01 situacion a  01/01/2019,15-00-020-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,15-00-014-H-H-000,7,3,1,3
2019/01 situacion a  01/01/2019,15-00-009-H-H-000,13,9,3,1
2019/01 situacion a  01/01/2019,19-00-001-H-H-000,5,1,1,3
2019/01 situacion a  01/01/2019,13-30-006-H-H-000,10,3,3,4
2019/01 situacion a  01/01/2019,13-00-008-H-H-000,15,13,1,1
2019/01 situacion a  01/01/2019,13-00-001-H-H-000,14,7,0,7
2019/01 situacion a  01/01/2019,13-00-000-H-H-008,7,5,1,1
2019/01 situacion a  01/01/2019,13-30-003-H-H-000,10,10,0,0
2019/01 situacion a  01/01/2019,13-00-000-H-H-007,15,11,0,4
2019/01 situacion a  01/01/2019,13-30-011-H-H-000,7,3,4,0
2019/01 situacion a  01/01/2019,13-00-000-H-H-009,4,4,0,0
2019/01 situacion a  01/01/2019,13-00-000-H-H-006,8,4,2,2
2019/01 situacion a  01/01/2019,13-00-000-H-H-004,10,7,0,3
2019/01 situacion a  01/01/2019,13-00-000-H-H-001,15,10,0,5
2019/01 situacion a  01/01/2019,13-00-000-H-H-003,10,10,0,0
2019/01 situacion a  01/01/2019,17-46-015-H-H-000,11,3,7,1
2019/01 situacion a  01/01/2019,17-46-026-H-H-000,7,7,0,0
2019/01 situacion a  01/01/2019,17-00-001-N-N-000,40,11,16,13
2019/01 situacion a  01/01/2019,17-00-005-H-H-000,8,3,0,5
2019/01 situacion a  01/01/2019,17-00-038-H-H-000,8,2,1,5
2019/01 situacion a  01/01/2019,17-00-013-H-H-000,9,6,0,3
2019/01 situacion a  01/01/2019,17-12-006-H-H-000,8,3,0,5
2019/01 situacion a  01/01/2019,17-00-002-N-N-000,46,8,8,30
2019/01 situacion a  01/01/2019,17-00-028-H-H-000,35,12,5,18
2019/01 situacion a  01/01/2019,17-03-008-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,17-46-022-H-H-000,13,11,0,2
2019/01 situacion a  01/01/2019,17-12-008-H-H-000,8,3,2,3
2019/01 situacion a  01/01/2019,17-00-012-H-H-000,30,10,0,20
2019/01 situacion a  01/01/2019,17-00-034-H-H-000,77,33,8,36
2019/01 situacion a  01/01/2019,17-12-005-H-H-000,21,17,2,2
2019/01 situacion a  01/01/2019,17-00-030-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,17-00-009-H-H-000,15,7,0,8
2019/01 situacion a  01/01/2019,17-00-020-H-H-000,11,7,0,4
2019/01 situacion a  01/01/2019,17-46-025-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,17-00-006-H-H-000,23,7,10,6
2019/01 situacion a  01/01/2019,17-46-010-H-H-000,11,9,0,2
2019/01 situacion a  01/01/2019,17-46-017-H-H-000,7,3,2,2
2019/01 situacion a  01/01/2019,17-00-023-H-H-000,8,4,0,4
2019/01 situacion a  01/01/2019,17-12-004-H-H-000,6,4,0,2
2019/01 situacion a  01/01/2019,17-00-041-H-H-000,6,2,3,1
2019/01 situacion a  01/01/2019,17-12-007-H-H-000,9,3,4,2
2019/01 situacion a  01/01/2019,17-46-021-H-H-000,18,18,0,0
2019/01 situacion a  01/01/2019,17-46-027-H-H-000,9,9,0,0
2019/01 situacion a  01/01/2019,17-00-037-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,17-46-013-H-H-000,8,4,0,4
2019/01 situacion a  01/01/2019,17-00-002-H-H-000,14,11,2,1
2019/01 situacion a  01/01/2019,17-00-040-H-H-000,11,5,5,1
2019/01 situacion a  01/01/2019,17-00-003-H-H-000,10,4,0,6
2019/01 situacion a  01/01/2019,17-00-017-H-H-000,12,6,6,0
2019/01 situacion a  01/01/2019,17-46-029-H-H-000,22,12,10,0
2019/01 situacion a  01/01/2019,17-03-007-H-H-000,30,8,20,2
2019/01 situacion a  01/01/2019,17-46-014-H-H-000,46,4,5,37
2019/01 situacion a  01/01/2019,17-00-022-H-H-000,10,10,0,0
2019/01 situacion a  01/01/2019,17-12-009-H-H-000,34,1,18,15
2019/01 situacion a  01/01/2019,17-00-042-H-H-000,5,1,0,4
2019/01 situacion a  01/01/2019,17-46-028-H-H-000,21,13,4,4
2019/01 situacion a  01/01/2019,17-46-023-H-H-000,42,42,0,0
2019/01 situacion a  01/01/2019,17-00-035-H-H-000,15,9,0,6
2019/01 situacion a  01/01/2019,17-00-019-H-H-000,6,5,0,1
2019/01 situacion a  01/01/2019,17-00-036-H-H-000,9,4,2,3
2019/01 situacion a  01/01/2019,17-00-027-H-H-000,21,21,0,0
2019/01 situacion a  01/01/2019,17-46-024-H-H-000,15,13,0,2
2019/01 situacion a  01/01/2019,09-08-173-H-H-000,13,13,0,0
2019/01 situacion a  01/01/2019,09-08-158-H-H-000,15,11,3,1
2019/01 situacion a  01/01/2019,09-08-179-H-H-000,13,11,0,2
2019/01 situacion a  01/01/2019,09-00-025-H-H-000,15,15,0,0
2019/01 situacion a  01/01/2019,09-00-069-H-H-000,9,3,3,3
2019/01 situacion a  01/01/2019,09-08-176-H-H-000,9,9,0,0
2019/01 situacion a  01/01/2019,09-00-072-H-H-000,7,6,1,0
2019/01 situacion a  01/01/2019,09-00-013-N-N-000,5,5,0,0
2019/01 situacion a  01/01/2019,09-08-172-H-H-000,15,13,0,2
2019/01 situacion a  01/01/2019,09-00-044-H-H-000,14,14,0,0
2019/01 situacion a  01/01/2019,09-25-026-H-H-000,15,15,0,0
2019/01 situacion a  01/01/2019,09-00-029-H-H-000,14,14,0,0
2019/01 situacion a  01/01/2019,09-00-068-H-H-000,11,7,0,4
2019/01 situacion a  01/01/2019,09-08-153-H-H-000,8,6,0,2
2019/01 situacion a  01/01/2019,09-08-182-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,09-08-160-H-H-000,9,5,4,0
2019/01 situacion a  01/01/2019,09-00-018-H-H-000,18,13,5,0
2019/01 situacion a  01/01/2019,09-00-030-H-H-000,7,7,0,0
2019/01 situacion a  01/01/2019,09-08-177-H-H-000,26,14,1,11
2019/01 situacion a  01/01/2019,09-00-013-H-H-000,12,12,0,0
2019/01 situacion a  01/01/2019,09-08-166-H-H-000,5,5,0,0
2019/01 situacion a  01/01/2019,09-00-045-H-H-000,6,3,0,3
2019/01 situacion a  01/01/2019,09-08-151-H-H-000,7,7,0,0
2019/01 situacion a  01/01/2019,09-00-075-H-H-000,13,1,12,0
2019/01 situacion a  01/01/2019,09-00-060-H-H-000,11,3,6,2
2019/01 situacion a  01/01/2019,09-00-043-H-H-000,4,3,0,1
2019/01 situacion a  01/01/2019,09-00-050-H-H-000,15,15,0,0
2019/01 situacion a  01/01/2019,09-00-061-H-H-000,17,7,6,4
2019/01 situacion a  01/01/2019,09-08-190-H-H-000,3,1,1,1
2019/01 situacion a  01/01/2019,09-08-150-H-H-000,12,10,1,1
2019/01 situacion a  01/01/2019,09-17-047-H-H-000,17,17,0,0
2019/01 situacion a  01/01/2019,09-00-070-H-H-000,11,11,0,0
2019/01 situacion a  01/01/2019,09-08-152-H-H-000,6,6,0,0
2019/01 situacion a  01/01/2019,09-00-048-H-H-000,9,7,0,2
2019/01 situacion a  01/01/2019,09-00-036-H-H-000,24,6,7,11
2019/01 situacion a  01/01/2019,09-00-015-H-H-000,19,11,8,0
2019/01 situacion a  01/01/2019,09-00-071-H-H-000,16,7,2,7
2019/01 situacion a  01/01/2019,09-00-002-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-08-174-H-H-000,16,15,1,0
2019/01 situacion a  01/01/2019,09-00-047-H-H-000,9,7,1,1
2019/01 situacion a  01/01/2019,09-00-028-H-H-000,9,3,1,5
2019/01 situacion a  01/01/2019,09-17-052-H-H-000,3,1,1,1
2019/01 situacion a  01/01/2019,09-17-048-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-08-165-H-H-000,13,10,1,2
2019/01 situacion a  01/01/2019,09-00-046-H-H-000,14,11,1,2
2019/01 situacion a  01/01/2019,09-08-157-H-H-000,10,9,1,0
2019/01 situacion a  01/01/2019,09-00-034-H-H-000,11,0,11,0
2019/01 situacion a  01/01/2019,09-00-020-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-43-084-H-H-000,9,1,3,5
2019/01 situacion a  01/01/2019,09-00-021-H-H-000,10,10,0,0
2019/01 situacion a  01/01/2019,09-08-164-H-H-000,9,6,0,3
2019/01 situacion a  01/01/2019,09-00-026-H-H-000,13,13,0,0
2019/01 situacion a  01/01/2019,09-08-185-H-H-000,10,9,0,1
2019/01 situacion a  01/01/2019,09-00-007-H-H-000,18,10,0,8
2019/01 situacion a  01/01/2019,09-08-146-N-N-000,5,5,0,0
2019/01 situacion a  01/01/2019,09-08-193-H-H-000,14,8,6,0
2019/01 situacion a  01/01/2019,09-08-147-H-H-000,15,15,0,0
2019/01 situacion a  01/01/2019,09-00-014-H-H-000,14,14,0,0
2019/01 situacion a  01/01/2019,09-08-145-H-H-000,15,6,0,9
2019/01 situacion a  01/01/2019,09-00-012-H-H-000,8,8,0,0
2019/01 situacion a  01/01/2019,09-17-050-H-H-000,5,2,2,1
2019/01 situacion a  01/01/2019,09-17-049-H-H-000,10,5,1,4
2019/01 situacion a  01/01/2019,09-00-033-H-H-000,21,2,5,14
2019/01 situacion a  01/01/2019,09-25-022-H-H-000,15,5,0,10
2019/01 situacion a  01/01/2019,09-00-062-H-H-000,11,4,3,4
2019/01 situacion a  01/01/2019,09-00-032-H-H-000,26,7,10,9
