version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2019/01 situacion a  01/01/2019,50 -00-004-N-N-000,Federación de Organismos o Entid. de Radio y Telev. Autonóm. (FORTA),ACTA,Fundacional de 05/04/1989,,,05/04/1989,
2019/01 situacion a  01/01/2019,05-00-000-B-P-032,"600.000,00",ESCRITURA,de Constitución nº 1111 de 11/03/2005,,,25/07/2005,
2019/01 situacion a  01/01/2019,50 -00-012-H-H-000,Fundación Consejo España-China,ESCRITURA,"de constitución nº 921, 12/05/2004",,,12/05/2004,
2019/01 situacion a  01/01/2019,05-00-000-X-P-038,"180.000,00",ESCRITURA,de constitución nº 123 de 13/01/2003,,,17/03/2003,
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"4.327.287,15",ESCRITURA,de constitución nº 2411 de 29/12/1977,ESCRITURA,nº 3759 de 01/08/1985,10/08/1982,31/07/1985
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"9.255.586,41",ESCRITURA,nº 3759 de 01/08/1985,ESCRITURA,nº 4355 de 23/12/1993,01/08/1985,11/01/1994
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"11.617.563,98",ESCRITURA,nº 4355 de 23/12/1993,ESCRITURA,nº 1744 de 26/04/2001,12/01/1994,27/05/2001
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"16.377.579,84",ESCRITURA,nº 1744 de 26/04/2001,ESCRITURA,nº 420 de 30/01/2002,28/05/2001,15/04/2002
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"9.975.000,00",ESCRITURA,nº 420 de 30/01/2002,ESCRITURA,nº 4315 de 18/11/2005,16/04/2002,21/02/2006
2019/01 situacion a  01/01/2019,05-00-000-B-P-001,"11.001.000,00",ESCRITURA,nº 4315 de 18/11/2005,,,22/02/2006,
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"685.153,80",ESCRITURA,de constitución nº 1070 de 04/11/1986,ESCRITURA,nº 1690 de 20/06/1991,17/01/1987,22/07/1991
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"1.923.238,73",ESCRITURA,nº 1690 de 20/06/1991,ESCRITURA,de reducción de C.S. (RM 24/03/1995),23/07/1991,23/03/1995
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"960.417,34",ESCRITURA,de reducción de C.S. (RM 24/03/1995),ESCRITURA,de ampliación de C.S. (RM 09/09/1996),24/03/1995,08/09/1996
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"1.982.137,92",ESCRITURA,de ampliación de C.S. (RM 09/09/1996),ESCRITURA,nº 2526 de 25/09/1997,09/09/1996,07/07/1998
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"2.116.163,62",ESCRITURA,nº 2526 de 25/09/1997,ESCRITURA,nº 4574 de 31/12/1998,08/07/1998,07/10/1999
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"4.207.084,73",ESCRITURA,nº 4574 de 31/12/1998,ESCRITURA,nº 52 de 06/02/2001,08/10/1999,27/12/2001
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"4.053.225,63",ESCRITURA,nº 52 de 06/02/2001,ESCRITURA,de conversión a euros y redondeo,28/12/2001,31/12/2001
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"4.053.211,44",ESCRITURA,de conversión a euros y redondeo,ESCRITURA,de ampliación de C.S. (RM 20/10/2003),01/01/2002,19/10/2003
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"4.654.221,44",ESCRITURA,de ampliación de C.S. (RM 20/10/2003),ESCRITURA,nº 2034 de 21/09/2004,20/10/2003,30/03/2005
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"1.150.333,14",ESCRITURA,nº 2034 de 21/09/2004,ESCRITURA,nº 2917 de 20/09/2013,31/03/2005,24/02/2014
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"750.060,48",ESCRITURA,nº 2917 de 20/09/2013,ESCRITURA,nº 3487 de 21/12/2015,25/02/2014,17/01/2016
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"1.049.964,47",ESCRITURA,nº 3487 de 21/12/2015,ESCRITURA,nº 2.669 de 11/11/2016,18/01/2016,29/11/2016
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"1.364.893,71",ESCRITURA,nº 2.669 de 11/11/2016,ESCRITURA,nº 100 de 12/01/2017,30/11/2016,29/01/2017
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"2.019.393,60",ESCRITURA,nº 100 de 12/01/2017,ESCRITURA,nº 2.463 ampliación C.S. (RM 04/10/2017),30/01/2017,03/10/2017
2019/01 situacion a  01/01/2019,05-00-000-B-P-012,"2.334.322,84",ESCRITURA,nº 2.463 ampliación C.S. (RM 04/10/2017),,,04/10/2017,
