version,codigo_ente,total_miembros_patronado,n_patronos_designados_cccaa_o_unidades_dependientes,n_patronos_designados_adinistraciones_pub,n_patronos_sector_privado
2016/02 situacion a  01/07/2016,09-00-005-H-H-000,5,5,0,0
2016/02 situacion a  01/07/2016,09-08-161-H-H-000,22,16,4,2
2016/02 situacion a  01/07/2016,09-00-007-H-H-000,18,10,0,8
2016/02 situacion a  01/07/2016,09-00-031-H-H-000,22,8,1,13
2016/02 situacion a  01/07/2016,09-08-166-H-H-000,5,5,0,0
2016/02 situacion a  01/07/2016,09-08-177-H-H-000,28,17,1,10
2016/02 situacion a  01/07/2016,09-25-026-H-H-000,15,14,0,1
2016/02 situacion a  01/07/2016,09-00-061-H-H-000,17,7,6,4
2016/02 situacion a  01/07/2016,09-00-014-H-H-000,14,14,0,0
2016/02 situacion a  01/07/2016,09-25-022-H-H-000,15,5,0,10
2016/02 situacion a  01/07/2016,09-08-159-H-H-000,14,14,0,0
2016/02 situacion a  01/07/2016,09-08-156-H-H-000,7,7,0,0
2016/02 situacion a  01/07/2016,09-08-181-H-H-000,8,4,4,0
2016/02 situacion a  01/07/2016,09-08-160-H-H-000,9,5,4,0
2016/02 situacion a  01/07/2016,09-08-182-H-H-000,6,6,0,0
2016/02 situacion a  01/07/2016,09-08-179-H-H-000,13,11,0,2
2016/02 situacion a  01/07/2016,09-08-145-H-H-000,14,6,0,8
2016/02 situacion a  01/07/2016,09-08-188-H-H-000,5,2,0,3
2016/02 situacion a  01/07/2016,09-00-063-H-H-000,10,10,0,0
2016/02 situacion a  01/07/2016,09-17-051-H-H-000,19,11,4,4
2016/02 situacion a  01/07/2016,  09-00-019-H-H-000,3,2,0,1
2016/02 situacion a  01/07/2016,09-00-039-H-H-000,14,13,0,1
2016/02 situacion a  01/07/2016,  09-17-047-H-H-000,17,17,0,0
2016/02 situacion a  01/07/2016,09-08-172-H-H-000,15,13,0,2
2016/02 situacion a  01/07/2016,09-00-074-H-H-000,20,5,10,5
2016/02 situacion a  01/07/2016,09-00-041-H-H-000,17,17,0,0
2016/02 situacion a  01/07/2016,09-00-025-H-H-000,15,15,0,0
2016/02 situacion a  01/07/2016,09-08-147-H-H-000,15,15,0,0
2016/02 situacion a  01/07/2016,09-17-050-H-H-000,5,2,2,1
2016/02 situacion a  01/07/2016,,,,,
2016/02 situacion a  01/07/2016,  09-00-036-H-H-000,24,6,7,11
2016/02 situacion a  01/07/2016,09-08-152-H-H-000,18,18,0,0
2016/02 situacion a  01/07/2016,  09-08-192-H-H-000,16,1,4,11
2016/02 situacion a  01/07/2016,09-08-173-H-H-000,13,13,0,0
2016/02 situacion a  01/07/2016,09-00-034-H-H-000,11,0,11,0
2016/02 situacion a  01/07/2016,09-17-049-H-H-000,10,5,1,4
2016/02 situacion a  01/07/2016,09-08-189-H-H-000,13,10,3,0
2016/02 situacion a  01/07/2016,09-08-158-H-H-000,15,11,3,1
2016/02 situacion a  01/07/2016,09-00-047-H-H-000,9,7,1,1
2016/02 situacion a  01/07/2016,09-08-150-H-H-000,12,10,1,1
2016/02 situacion a  01/07/2016,  09-08-193-H-H-000,0,0,0,0
2016/02 situacion a  01/07/2016,09-00-044-H-H-000,14,14,0,0
2016/02 situacion a  01/07/2016,09-17-048-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-00-021-H-H-000,10,10,0,0
2016/02 situacion a  01/07/2016,09-00-070-H-H-000,11,11,0,0
2016/02 situacion a  01/07/2016,09-08-176-H-H-000,9,9,0,0
2016/02 situacion a  01/07/2016,09-00-071-H-H-000,14,6,2,6
2016/02 situacion a  01/07/2016,09-00-029-H-H-000,14,14,0,0
2016/02 situacion a  01/07/2016,09-08-157-H-H-000,9,7,0,2
2016/02 situacion a  01/07/2016,09-08-171-H-H-000,14,12,0,2
2016/02 situacion a  01/07/2016,09-00-012-H-H-000,8,7,1,0
2016/02 situacion a  01/07/2016,09-00-062-H-H-000,11,4,3,4
2016/02 situacion a  01/07/2016,09-00-060-H-H-000,11,3,6,2
2016/02 situacion a  01/07/2016,09-00-032-H-H-000,26,7,10,9
2016/02 situacion a  01/07/2016,09-00-054-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-00-008-H-H-000,7,7,0,0
2016/02 situacion a  01/07/2016,09-00-003-H-H-000,24,21,1,2
2016/02 situacion a  01/07/2016,09-17-052-H-H-000,3,1,1,1
2016/02 situacion a  01/07/2016,09-08-164-H-H-000,9,8,0,1
2016/02 situacion a  01/07/2016,09-00-057-H-H-000,21,11,8,2
2016/02 situacion a  01/07/2016,09-00-038-H-H-000,21,15,1,5
2016/02 situacion a  01/07/2016,09-08-163-H-H-000,20,12,0,8
2016/02 situacion a  01/07/2016,09-00-048-H-H-000,9,7,0,2
2016/02 situacion a  01/07/2016,  09-00-055-H-H-000,13,12,0,1
2016/02 situacion a  01/07/2016,09-00-018-H-H-000,18,13,5,0
2016/02 situacion a  01/07/2016,09-08-165-H-H-000,13,10,1,2
2016/02 situacion a  01/07/2016,09-00-050-H-H-000,15,15,0,0
2016/02 situacion a  01/07/2016,09-00-069-H-H-000,9,3,3,3
2016/02 situacion a  01/07/2016,09-08-190-H-H-000,3,1,1,1
2016/02 situacion a  01/07/2016,09-08-153-H-H-000,8,6,0,2
2016/02 situacion a  01/07/2016,09-00-072-H-H-000,7,6,1,0
2016/02 situacion a  01/07/2016,09-08-151-H-H-000,7,7,0,0
2016/02 situacion a  01/07/2016,09-00-015-H-H-000,19,11,8,0
2016/02 situacion a  01/07/2016,09-00-053-H-H-000,14,7,0,7
2016/02 situacion a  01/07/2016,09-43-099-H-H-000,23,10,2,11
2016/02 situacion a  01/07/2016,09-00-028-H-H-000,9,3,1,5
2016/02 situacion a  01/07/2016,09-00-017-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-08-170-H-H-000,34,6,20,8
2016/02 situacion a  01/07/2016,09-00-002-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-08-184-H-H-000,8,4,4,0
2016/02 situacion a  01/07/2016,09-00-033-H-H-000,21,2,5,14
2016/02 situacion a  01/07/2016,09-00-046-H-H-000,14,11,1,2
2016/02 situacion a  01/07/2016,09-00-037-H-H-000,11,11,0,0
2016/02 situacion a  01/07/2016,09-00-066-H-H-000,7,7,0,0
2016/02 situacion a  01/07/2016,09-00-030-H-H-000,7,7,0,0
2016/02 situacion a  01/07/2016,09-08-149-H-H-000,7,3,0,4
2016/02 situacion a  01/07/2016,09-00-068-H-H-000,11,8,0,3
2016/02 situacion a  01/07/2016,09-00-059-H-H-000,39,39,0,0
2016/02 situacion a  01/07/2016,09-00-013-H-H-000,12,12,0,0
2016/02 situacion a  01/07/2016,09-08-174-H-H-000,16,15,1,0
2016/02 situacion a  01/07/2016,09-08-186-H-H-000,11,8,0,3
2016/02 situacion a  01/07/2016,09-00-020-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-08-185-H-H-000,10,9,0,1
2016/02 situacion a  01/07/2016,09-00-045-H-H-000,6,3,0,3
2016/02 situacion a  01/07/2016,  09-00-043-H-H-000,3,3,0,0
2016/02 situacion a  01/07/2016,09-08-167-H-H-000,8,8,0,0
2016/02 situacion a  01/07/2016,09-00-067-H-H-000,11,4,6,1
2016/02 situacion a  01/07/2016,09-43-084-H-H-000,11,1,2,8
2016/02 situacion a  01/07/2016,09-00-035-H-H-000,6,4,2,0
2016/02 situacion a  01/07/2016,09-00-022-H-H-000,20,5,5,10
2016/02 situacion a  01/07/2016,09-08-191-H-H-000,6,2,2,2
2016/02 situacion a  01/07/2016,09-00-009-H-H-000,5,3,1,1
2016/02 situacion a  01/07/2016,09-00-026-H-H-000,13,13,0,0
2016/02 situacion a  01/07/2016,09-00-064-H-H-000,7,5,2,0
