version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2019/01 situacion a  01/01/2019,15-00-000-B-P-014,"4.157.056,00",REGISTRO MERCANTIL,Registro Mercantil de 17/02/2009,,,17/02/2009,
2019/01 situacion a  01/01/2019,15-00-000-X-P-115,"600.000,00",ESCRITURA,"de const. de 16/12/2010 (Dec. 273/2010, de 26/10)",,,08/02/2011,
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,"60.000,00",ESCRITURA,"de const. de 20/12/1990 (Dec. 235/1990, de 11-09)",ESCRITURA,de amp. y red. C.S (R.M. 07/07/1994),16/03/1991,06/07/1994
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,"99.166,99",ESCRITURA,de amp. y red. C.S (07/07/1994),ESCRITURA,de amp. y red. C.S (10/04/1995),07/07/1994,09/04/1995
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,"234.394,72",ESCRITURA,de amp. y red. C.S. (R.M.10/04/1995),ESCRITURA,de amp. y red. C.S. (R.M.11/06/2001),10/04/1995,10/06/2001
2019/01 situacion a  01/01/2019,15-00-000-X-P-041,"242.808,89",ESCRITURA,de amp. y red. C.S. (R.M.11/06/2001),,,11/06/2001,
2019/01 situacion a  01/01/2019,50 -00-013-H-H-000,F. Universitaria para la Cooperación Internacional (FUCI),ESCRITURA,nº 1449 de 29/05/2000 (RF nº 704 de 22/10/2003),,,22/10/2003,
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,"240.000,00",ESCRITURA,"de const. de 03/10/2001 (Decreto 162/2001, 30-7)",ESCRITURA,de reducción C.S. (RM 08/04/2015),24/10/2001,07/04/2015
2019/01 situacion a  01/01/2019,15-00-000-X-P-102,"3.000,00",ESCRITURA,de reducción C.S. (RM 08/04/2015),,,08/04/2015,
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"601,01",ESCRITURA,"de const. de 04/11/1982 (Dec. 157/1982, 19-7",ESCRITURA,de ampliac. C.S (R.M.14/11/1990),04/11/1982,13/11/1990
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"25.008.245,88",ESCRITURA,de ampliac. C.S (R.M.14/11/1990),ESCRITURA,de ampliac. C.S (R.M.11/03/1991),14/11/1990,10/03/1991
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"30.862.103,78",ESCRITURA,de ampliac. C.S (R.M.11/03/1991),ESCRITURA,de ampliac. C.S (R.M.30/01/1992),11/03/1991,29/01/1992
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"37.310.963,66",ESCRITURA,de ampliac. C.S (R.M.30/01/1992),ESCRITURA,de ampliac. C.S (R.M.17/03/1994),30/01/1992,16/03/1994
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"42.295.758,05",ESCRITURA,de ampliac. C.S (R.M.17/03/1994),ESCRITURA,de ampliac. C.S (R.M.18/03/1994),17/03/1994,17/03/1994
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"46.968.026,15",ESCRITURA,de ampliac. C.S (R.M.18/03/1994),ESCRITURA,de ampliac. C.S (R.M.30/11/1994),18/03/1994,29/11/1994
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"49.748.308,15",ESCRITURA,de ampliac. C.S (R.M.30/11/1994),ESCRITURA,de ampliac. C.S (R.M.20/03/1996),30/11/1994,19/03/1996
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"52.452.862,62",ESCRITURA,de ampliac. C.S (R.M.20/03/1996),ESCRITURA,de ampliac. C.S (R.M.19/05/1997),20/03/1996,18/05/1997
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"5.485.691,10",ESCRITURA,de ampliac. C.S (R.M.19/05/1997),ESCRITURA,de ampliac. C.S (R.M.26/05/1998),19/05/1997,25/05/1998
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"25.524.455,18",ESCRITURA,de ampliac. C.S (R.M.26/05/1998),ESCRITURA,de ampliac. C.S (R.M.07/04/1999),26/05/1998,06/04/1999
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"25.584.556,39",ESCRITURA,de ampliac. C.S (R.M.07/04/1999),ESCRITURA,de ampliac. C.S (R.M.13/11/2000),07/04/1999,12/11/2000
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"31.594.677,43",ESCRITURA,de ampliac. C.S (R.M.13/11/2000),ESCRITURA,de ampliac. C.S (R.M.12/12/2001),13/11/2000,11/12/2001
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"37.604.798,48",ESCRITURA,de ampliac. C.S (R.M.12/12/2001),ESCRITURA,de ampliac. C.S (R.M.02/09/2003),12/12/2001,01/09/2003
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"49.254.985,05",ESCRITURA,de ampliac. C.S (R.M.02/09/2003),ESCRITURA,de ampliac. C.S (R.M.21/04/2004),02/09/2003,20/04/2004
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"60.184.650,85",ESCRITURA,de ampliac. C.S (R.M.21/04/2004),ESCRITURA,de ampliac. C.S (R.M.26/01/2005),21/04/2004,25/01/2005
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"63.425.146,69",ESCRITURA,de ampliac. C.S (R.M.26/01/2005),ESCRITURA,de ampliac. C.S (R.M.28/02/2006),26/01/2005,27/02/2006
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"66.911.938,34",ESCRITURA,de ampliac. C.S (R.M.28/02/2006),ESCRITURA,de ampliac. C.S (R.M.31/01/2007),28/02/2006,30/01/2007
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"79.737.332,43",ESCRITURA,de ampliac. C.S (R.M.31/01/2007),ESCRITURA,de ampliac. C.S (R.M.13/02/2008),31/01/2007,12/02/2008
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"83.336.030,28",ESCRITURA,de ampliac. C.S (R.M.13/02/2008),ESCRITURA,de ampliac. C.S (R.M.09/03/2009),13/02/2008,08/03/2009
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"90.228.418,48",ESCRITURA,de ampliac. C.S (R.M.09/03/2009),ESCRITURA,de ampliac. C.S (R.M.11/03/2010),09/03/2009,10/03/2010
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"94.918.418,14",ESCRITURA,de ampliac. C.S (R.M.11/03/2010),ESCRITURA,de ampliac. C.S (R.M.17/05/2011),11/03/2010,16/05/2011
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"98.648.416,46",ESCRITURA,de ampliac. C.S (R.M.17/05/2011),ESCRITURA,de ampliac. C.S (R.M.27/02/2012),17/05/2011,26/02/2012
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"101.603.413,26",ESCRITURA,de ampliac. C.S (R.M.27/02/2012),ESCRITURA,de ampliac. C.S (R.M.22/03/2013),27/02/2012,21/03/2013
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"102.953.409,51",ESCRITURA,de ampliac. C.S (R.M.22/03/2013),ESCRITURA,de ampliac. C.S (R.M.07/04/20143),22/03/2013,06/04/2013
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"103.553.405,84",ESCRITURA,de ampliac. C.S (R.M.07/04/20143),ESCRITURA,de reduc. C.S (R.M.02/03/2015),07/04/2013,01/03/2015
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"46.766.851,06",ESCRITURA,de reduc y ampl. C.S (R.M.02/03/2015),ESCRITURA,de ampliac. C.S. (R.M.17/03/2016),02/03/2015,16/03/2016
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"47.616.851,37",ESCRITURA,de ampliac. C.S. (R.M.17/03/2016),ESCRITURA,de ampliac. C.S. (R.M.13/02/2017),17/03/2016,12/02/2017
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"48.466.851,68",ESCRITURA,de ampliac. C.S. (R.M.13/02/2017),ESCRITURA,de ampliac. C.S. (R.M. 02/03/2018),13/02/2017,01/03/2018
2019/01 situacion a  01/01/2019,15-00-000-B-P-002,"50.956.043,43",ESCRITURA,de ampliac. C.S. (R.M. 02/03/2018),,,02/03/2018,
