version,codigo_ente,nombre,fuente_alta,inf_fuente_alta,fuente_baja,inf_fuente_baja,alta_desde,baja_desde
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"462.779,32",ESCRITURA,"de const. de 30/03/1984 (Dec. 77/1984, 20-03)",ESCRITURA,de ampliac. C.S. (R.M. 12/04/1991),30/03/1984,11/04/1991
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.066.195,47",ESCRITURA,de ampliac. C.S. (R.M. 12/04/1991),ESCRITURA,de ampliac. C.S. (R.M.15/04/1992),12/04/1991,13/04/1992
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.204.428,25",ESCRITURA,de ampliac. C.S. (R.M.15/04/1992),ESCRITURA,de ampliac. C.S. (R.M. 03/05/1995),14/04/1992,02/05/1995
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.644.970,12",ESCRITURA,de ampliac. C.S. (R.M. 03/05/1995),ESCRITURA,de reduc. C.S (R.M.10/01/1996),03/05/1995,09/01/1996
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"240.165,63",ESCRITURA,de reduc. C.S (R.M.10/01/1996),ESCRITURA,de ampliac. C.S. (R.M.17/05/1996),10/01/1996,16/05/1996
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"487.175,60",ESCRITURA,de ampliac. C.S. (R.M.17/05/1996),ESCRITURA,de ampliac. C.S. (R.M.20/05/1997),17/05/1996,19/05/1997
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"517.185,34",ESCRITURA,de ampliac. C.S. (R.M.20/05/1997),ESCRITURA,de ampliac. C.S. (R.M. 16/06/1998),20/05/1997,15/06/1998
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"604.933,10",ESCRITURA,de ampliac. C.S. (R.M. 16/06/1998),ESCRITURA,de ampliac. C.S. (R.M. 27/04/1999),16/06/1998,26/04/1999
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"613.707,88",ESCRITURA,de ampliac. C.S. (R.M. 27/04/1999),ESCRITURA,den ampliac. C.S. (R.M. 26/12/2000),27/04/1999,25/12/2000
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"622.482,66",ESCRITURA,de ampliac. C.S. (R.M. 26/12/2000),ESCRITURA,de ampliac. C.S. (R.M.16/09/2003),26/12/2000,15/09/2003
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"985.959,00",ESCRITURA,de ampliac. C.S. (R.M.16/09/2003),ESCRITURA,de ampliac. C.S. (R.M.27/04/2004),16/09/2003,26/04/2004
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.135.923,75",ESCRITURA,de ampliac. C.S. (R.M.27/04/2004),ESCRITURA,de ampliac. C. S. (R.M.07/02/2005),27/04/2004,06/02/2005
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.285.888,50",ESCRITURA,de ampliac. C. S. (R.M.07/02/2005),ESCRITURA,de ampliac. C.S. (R.M.21/02/2006),07/02/2005,20/02/2006
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.325.814,75",ESCRITURA,de ampliac. C.S. (R.M.21/02/2006),ESCRITURA,de ampliac. C.S. (R.M.04/05/2007),21/02/2006,03/05/2007
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.366.969,50",ESCRITURA,de ampliac. C.S. (R.M.04/05/2007),ESCRITURA,de ampliac. C.S. (R.M. 27/02/2008),04/05/2007,26/02/2008
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.409.791,50",ESCRITURA,de ampliac. C.S. (R.M. 27/02/2008),ESCRITURA,de ampliac. C.S. (R.M.23/03/2009),27/02/2008,22/03/2009
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.455.684,75",ESCRITURA,de ampliac. C.S. (R.M.23/03/2009),ESCRITURA,de ampliac. C.S. (R.M.23/06/2010),23/03/2009,22/06/2010
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.485.607,50",ESCRITURA,de ampliac. C.S. (R.M.23/06/2010),ESCRITURA,de ampliac. C.S. (R.M.17/08/2011),23/06/2010,16/08/2011
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.615.565,25",ESCRITURA,de ampliac. C.S. (R.M.17/08/2011),ESCRITURA,de ampliac. C.S. (R.M.09/03/2012),17/08/2011,08/03/2012
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.640.486,25",ESCRITURA,de ampliac. C.S. (R.M.09/03/2012),ESCRITURA,de ampliac. C.S. (R.M.10/04/2013),09/03/2012,09/04/2013
2019/01 situacion a  01/01/2019,15-00-000-B-P-001,"1.740.433,50",ESCRITURA,de ampliac. C.S. (R.M.10/04/2013),ESCRITURA,de ampliac. C.S (R.M.14/08/2015),10/04/2013,13/08/2015
